team_id,1_player,2_player,3_player,4_player,5_player,prpg!,dprpg,bpm,obpm,dbpm
2023 Kennesaw St.,Terrell Burden,Spencer Rodgers,Chris Youngblood,Brandon Stroud,Demond Robinson,9.5,13.6,10.7,6,3.1
2015 Belmont,Reece Chamberlain,Taylor Barnette,Craig Bradshaw,Evan Bradds,Amanze Egekeze,11.4,11.8,10.7,11.7,3.1
2018 St. Bonaventure,Jaylen Adams,Matt Mobley,Idris Taqqee,LaDarien Griffin,Amadi Ikpeze,12,15.4,10.7,5.5,4.5
2016 UNC Wilmington,Denzel Ingram,Craig Ponder,Chris Flemmings,C.J. Bryce,Marcus Bryan,9.6,13,10.6,7.4,3.3
2018 UNC Greensboro,Demetrius Troy,Francis Alonso,Marvin Smith,James Dickey,Jordy Kuiper,7.3,16.2,10.6,2.6,3.3
2024 UAB,Eric Gaines,Efrem Johnson,Alejandro Vasquez,Christian Coleman,Yaxel Lendeborg,12.6,11.7,10.5,11.2,0.2
2020 UC Irvine,Eyassu Worku,Evan Leonard,John Edgar Jr.,Tommy Rutherford,Brad Greene,9.6,12.4,10.1,6.9,7
2022 Yale,Bez Mbeng,Azar Swain,Jalen Gabbidon,Matt Knowling,Isaiah Kelly,7.7,12.4,10.1,1,7.6
2023 UC Santa Barbara,Ajay Mitchell,Calvin Wishart,Josh Pierre-Louis,Miles Norris,Andre Kelly,13.4,13.7,10,8.4,6.1
2023 Montana St.,Darius Brown II,RaeQuan Battle,Caleb Fuller,Tyler Patterson,Jubrile Belo,8.5,13.8,9.9,4.6,4.3
2024 Oakland,DQ Cole,Blake Lampman,Jack Gohlke,Trey Townsend,Chris Conway,11.8,12.8,9.8,9.4,2.1
2024 Akron,Greg Tribble,Nate Johnson,Ali Ali,Enrique Freeman,Sammy Hunter,12.2,14.6,9.7,6.2,6.5
2024 Long Beach St.,Marcus Tsohonis,Jadon Jones,AJ George,Aboubacar Traore,Lassina Traore,12,12.6,9.6,8.8,0.9
2020 North Dakota St.,Vinnie Shahid,Jared Samuelson,Tyson Ward,Sam Griesel,Rocky Kreuser,12,12.9,9.6,8.3,0
2023 Princeton,Matt Allocco,Ryan Langborg,Caden Pierce,Tosan Evbuomwan,Zach Martini,10,13.5,9.6,6.3,5.8
2021 Iona,Asante Gist,Isaiah Ross,Berrick JeanLouis,Dylan van Eyck,Nelly Junior Joseph,9.5,14.6,9.5,4.1,3.7
2017 Kent St.,Jalen Avery,Jaylin Walker,Deon Edwin,Mitch Peterson,Jimmy Hall,10.7,12.5,9.4,8.6,-0.8
2020 Bradley,Darrell Brown,Danya Kingsby,Nate Kennell,Elijah Childs,Koch Bar,11.4,14.6,9.4,6.2,5.9
2021 Winthrop,Chandler Vaudrin,Kyle Zunic,Charles Falden,Micheal Anumba,DJ Burns,6.8,12.2,9.4,2.9,4.2
2022 Longwood,Justin Hill,DeShaun Wade,Jesper Granlund,Isaiah Wilkins,Zac Watson,10.3,10.6,9.4,6.7,3.2
2016 Buffalo,Lamonte Bearden,CJ Massinburg,Willie Conner,Blake Hamilton,Nick Perkins,9.2,12.3,9.3,6.8,3.4
2022 Marquette,Tyler Kolek,Darryl Morsell,Olivier-Maxence Prosper,Justin Lewis,Kur Kuath,10.3,15.2,9.3,4.9,11.5
2022 Saint Peter's,Matthew Lee,Daryl Banks III,KC Ndefo,Hassan Drame,Clarence Rupert,5.2,12.7,9.2,-1.6,8
2015 Northeastern,T.J. Williams,David Walker,Zach Stahl,Quincy Ford,Scott Eatherton,10.5,15,9.1,7.6,2.7
2017 Winthrop,Keon Johnson,Bjorn Broman,Roderick Perkins,Tevin Prescott,Xavier Cooks,9.3,11.6,9,7,-0.8
2015 Manhattan,RaShawn Stores,Shane Richards,Donovan Kates,Emmy Andujar,Ashton Pankey,8.6,14.1,8.8,5.6,5.1
2015 Albany,Evan Singletary,Peter Hooley,Ray Sanders,Sam Rowley,Michael Rowley,10.6,14.4,8.8,7.7,2.6
2015 North Florida,Dallas Moore,Jalen Nesbitt,Demarcus Daniels,Beau Beech,Chris Davenport,10.7,13.8,8.8,8.2,2
